feature,iv,ks
f120,0.0038586762886871923,0.0611510791366906
f160,0.0037009478159039638,0.05990783410138245
f272,0.0037009478159039638,0.05990783410138245
f132,0.0037009478159039638,0.05990783410138245
f209,0.0035566791556236174,0.018333720120677577
f218,0.0033923830271536436,0.028561482611146105
f221,0.0030622879256129126,0.009382355866458969
f199,0.0030588925146023574,0.01460398501475313
f103,0.0029220269578588386,0.00646487418360242
f349,0.0023615718903861205,0.006348837980306943
f310,0.0021765796000122687,0.0033153200941551386
f252,0.0021765796000122687,0.0033153200941551386
f216,0.0021507671159270406,0.006746676391605533
f226,0.0020560993788933165,0.004326492722872444
f342,0.001959814360635455,0.010741637105062485
f85,0.0019046678377958779,0.043165467625899234
f278,0.0019046678377958779,0.043165467625899234
f194,0.0019046678377958779,0.043165467625899234
f152,0.0019046678377958779,0.043165467625899234
f145,0.0019046678377958779,0.043165467625899234
f9,0.0018658642090456225,0.01700759208301561
f88,0.0018611511209176367,0.014653714816165508
f283,0.0017711070531527039,0.007028478599608867
f326,0.0015183599447972196,0.011454430925305847
f50,0.0011614782075757117,0.012962901568146501
f5,0.0011614782075757117,0.012962901568146501
f325,0.0008731601020783292,0.01460398501475313
f170,0.0008411169886609294,0.008271723634916905
f30,0.0008402634443816516,0.02877697841726623
f181,0.000455312311541725,0.008056227828796891
f322,0.000455312311541725,0.008056227828796891
f300,0.0004298289399063235,0.01012830288764377
f45,0.00032642659182872784,0.017985611510791366
f37,0.00020853247917362367,0.014388489208633115
f59,0.00020853247917362367,0.014388489208633115
f275,0.00020183316505256683,0.0017405430494313867
f282,0.00019971900565490978,0.0029174816828565486
f122,0.00019246090117891481,0.01382488479262678
Adult,0.0001515931937624513,0.00588469316712531
f1,0.00011708650385682613,0.010791366906474864
f155,0.00010572449823155929,0.00321586049133038
f97,4.8240415578688716e-05,0.0007293704207140816
f303,2.2842876320477333e-05,0.0005636044160063358
f259,1.1340317221983319e-05,0.0002818022080031124
f15,4.185058040926831e-06,0.00039783841129859
